Season,wOBA,Name,Team,PA,playerid
1992,0.342,Jay Buhner,Mariners,629,1001638
1888,0.293,Jay Faatz,Blues,503,1003888
1889,0.276,Jay Faatz,Spiders,469,1003888
2005,0.353,Jay Gibbons,Orioles,518,141
2002,0.338,Jay Gibbons,Orioles,541,141
2003,0.331,Jay Gibbons,Orioles,687,141
1969,0.317,Jay Johnstone,Angels,597,1006463
1927,0.296,Jay Partridge,Robins,611,1010035
2003,0.370,Jay Payton,Rockies,658,890
2000,0.337,Jay Payton,Mets,529,890
2006,0.321,Jay Payton,Athletics,588,890
2004,0.306,Jay Payton,Padres,511,890
2013,0.403,Jayson Werth,Nationals,532,1327
2010,0.396,Jayson Werth,Phillies,652,1327
2009,0.378,Jayson Werth,Phillies,676,1327
2014,0.377,Jayson Werth,Nationals,629,1327
2016,0.327,Jayson Werth,Nationals,606,1327
2011,0.319,Jayson Werth,Nationals,649,1327
2016,0.371,Jean Segura,Diamondbacks,694,5933
2017,0.334,Jean Segura,Mariners,566,5933
2013,0.329,Jean Segura,Brewers,623,5933
2018,0.327,Jean Segura,Mariners,632,5933
2014,0.272,Jean Segura,Brewers,557,5933
2015,0.268,Jean Segura,Brewers,584,5933
2018,0.347,Jed Lowrie,Athletics,680,4418
2017,0.347,Jed Lowrie,Athletics,645,4418
2013,0.345,Jed Lowrie,Athletics,662,4418
2014,0.300,Jed Lowrie,Athletics,566,4418
2013,0.325,Jedd Gyorko,Padres,525,10816
1994,0.488,Jeff Bagwell,Astros,479,547
1999,0.442,Jeff Bagwell,Astros,729,547
2000,0.435,Jeff Bagwell,Astros,719,547
1996,0.433,Jeff Bagwell,Astros,719,547
1997,0.424,Jeff Bagwell,Astros,717,547
1998,0.421,Jeff Bagwell,Astros,661,547
2001,0.407,Jeff Bagwell,Astros,717,547
2002,0.394,Jeff Bagwell,Astros,691,547
1993,0.393,Jeff Bagwell,Astros,609,547
1995,0.387,Jeff Bagwell,Astros,539,547
2003,0.384,Jeff Bagwell,Astros,702,547
1991,0.370,Jeff Bagwell,Astros,650,547
2004,0.365,Jeff Bagwell,Astros,679,547
1992,0.360,Jeff Bagwell,Astros,697,547
1997,0.388,Jeff Blauser,Braves,623,1001062
1993,0.379,Jeff Blauser,Braves,710,1001062
1989,0.330,Jeff Blauser,Braves,507,1001062
1994,0.316,Jeff Blauser,Braves,434,1001062
1995,0.302,Jeff Blauser,Braves,504,1001062
1978,0.424,Jeff Burroughs,Braves,611,1001731
1974,0.402,Jeff Burroughs,Rangers,662,1001731
1977,0.385,Jeff Burroughs,Braves,671,1001731
1973,0.375,Jeff Burroughs,Rangers,605,1001731
1981,0.337,Jeff Burroughs,Mariners,360,1001731
1975,0.326,Jeff Burroughs,Rangers,672,1001731
1976,0.318,Jeff Burroughs,Rangers,681,1001731
1996,0.390,Jeff Cirillo,Brewers,643,1073
1999,0.380,Jeff Cirillo,Brewers,697,1073
2000,0.378,Jeff Cirillo,Rockies,684,1073
1998,0.377,Jeff Cirillo,Brewers,694,1073
2001,0.357,Jeff Cirillo,Rockies,586,1073
1997,0.354,Jeff Cirillo,Brewers,661,1073
2002,0.282,Jeff Cirillo,Mariners,547,1073
1995,0.386,Jeff Conine,Marlins,562,131
1994,0.385,Jeff Conine,Marlins,496,131
1996,0.366,Jeff Conine,Marlins,670,131
2001,0.360,Jeff Conine,Orioles,601,131
2003,0.340,Jeff Conine,- - -,646,131
1993,0.338,Jeff Conine,Marlins,658,131
2004,0.334,Jeff Conine,Marlins,579,131
2006,0.314,Jeff Conine,- - -,539,131
2011,0.347,Jeff Francoeur,Royals,656,4792
2007,0.338,Jeff Francoeur,Braves,696,4792
2009,0.315,Jeff Francoeur,- - -,632,4792
2006,0.313,Jeff Francoeur,Braves,686,4792
2010,0.295,Jeff Francoeur,- - -,503,4792
2008,0.288,Jeff Francoeur,Braves,653,4792
2012,0.285,Jeff Francoeur,Royals,603,4792
1989,0.288,Jeff Hamilton,Dodgers,581,1005275
1941,0.443,Jeff Heath,Indians,643,1005560
1938,0.436,Jeff Heath,Indians,538,1005560
1943,0.402,Jeff Heath,Indians,488,1005560
1946,0.396,Jeff Heath,- - -,558,1005560
1947,0.391,Jeff Heath,Browns,582,1005560
1942,0.372,Jeff Heath,Indians,634,1005560
2000,0.431,Jeff Kent,Giants,695,1119
2002,0.397,Jeff Kent,Giants,682,1119
1998,0.387,Jeff Kent,Giants,594,1119
2005,0.380,Jeff Kent,Dodgers,637,1119
2007,0.377,Jeff Kent,Dodgers,562,1119
1999,0.376,Jeff Kent,Giants,585,1119
2001,0.372,Jeff Kent,Giants,696,1119
2004,0.369,Jeff Kent,Astros,606,1119
2003,0.368,Jeff Kent,Astros,552,1119
1994,0.352,Jeff Kent,Mets,452,1119
1995,0.343,Jeff Kent,Mets,514,1119
1997,0.337,Jeff Kent,Giants,651,1119
1993,0.337,Jeff Kent,Mets,544,1119
2010,0.332,Jeff Keppinger,Astros,575,3856
1996,0.361,Jeff King,Pirates,672,1006931
1995,0.346,Jeff King,Pirates,509,1006931
1997,0.344,Jeff King,Royals,647,1006931
1993,0.340,Jeff King,Pirates,683,1006931
1998,0.332,Jeff King,Royals,540,1006931
1994,0.305,Jeff King,Pirates,378,1006931
1992,0.288,Jeff King,Pirates,522,1006931
1979,0.293,Jeff Newman,Athletics,552,1009543
1990,0.324,Jeff Treadway,Braves,511,1013169
1989,0.312,Jeff Treadway,Braves,514,1013169
2000,0.396,Jeffrey Hammonds,Rockies,511,687
2002,0.322,Jeffrey Hammonds,Brewers,510,687
1984,0.372,Jeffrey Leonard,Giants,566,1007535
1983,0.345,Jeffrey Leonard,Giants,558,1007535
1987,0.329,Jeffrey Leonard,Giants,531,1007535
1989,0.322,Jeffrey Leonard,Mariners,621,1007535
1990,0.295,Jeffrey Leonard,Mariners,525,1007535
1985,0.290,Jeffrey Leonard,Giants,531,1007535
1988,0.281,Jeffrey Leonard,- - -,569,1007535
2018,0.311,Jeimer Candelario,Tigers,619,13621
2012,0.276,Jemile Weeks,Athletics,511,2498
1993,0.338,Jerald Clark,Rockies,512,1002289
1992,0.296,Jerald Clark,Padres,526,1002289
2008,0.320,Jeremy Hermida,Marlins,559,7208
2005,0.301,Jeremy Reed,Mariners,544,4730
2006,0.418,Jermaine Dye,White Sox,611,911
2000,0.403,Jermaine Dye,Royals,679,911
2008,0.377,Jermaine Dye,White Sox,645,911
1999,0.374,Jermaine Dye,Royals,673,911
2005,0.361,Jermaine Dye,White Sox,579,911
2009,0.347,Jermaine Dye,White Sox,574,911
2001,0.346,Jermaine Dye,- - -,675,911
2007,0.344,Jermaine Dye,White Sox,561,911
2002,0.343,Jermaine Dye,Athletics,555,911
2004,0.339,Jermaine Dye,Athletics,590,911
1989,0.326,Jerome Walton,Cubs,515,1013593
1999,0.408,Jeromy Burnitz,Brewers,580,867
1997,0.399,Jeromy Burnitz,Brewers,577,867
2004,0.383,Jeromy Burnitz,Rockies,606,867
2001,0.358,Jeromy Burnitz,Brewers,651,867
1998,0.358,Jeromy Burnitz,Brewers,691,867
2000,0.350,Jeromy Burnitz,Brewers,686,867
2003,0.329,Jeromy Burnitz,- - -,505,867
2005,0.328,Jeromy Burnitz,Cubs,671,867
2002,0.300,Jeromy Burnitz,Mets,550,867
1962,0.326,Jerry Adair,Orioles,574,1000038
1965,0.290,Jerry Adair,Orioles,625,1000038
1964,0.272,Jerry Adair,Orioles,605,1000038
1994,0.355,Jerry Browne,Marlins,388,1001525
1989,0.342,Jerry Browne,Indians,685,1001525
1990,0.330,Jerry Browne,Indians,610,1001525
1987,0.319,Jerry Browne,Rangers,526,1001525
1950,0.354,Jerry Coleman,Yankees,602,1002423
1949,0.348,Jerry Coleman,Yankees,523,1002423
1887,0.379,Jerry Denny,Hoosiers,526,1003209
1889,0.340,Jerry Denny,Hoosiers,605,1003209
1883,0.323,Jerry Denny,Grays,402,1003209
1888,0.316,Jerry Denny,Hoosiers,535,1003209
1886,0.307,Jerry Denny,Maroons,489,1003209
1884,0.294,Jerry Denny,Grays,453,1003209
1890,0.280,Jerry Denny,Giants,471,1003209
1882,0.271,Jerry Denny,Grays,333,1003209
1881,0.259,Jerry Denny,Grays,325,1003209
1908,0.299,Jerry Freeman,Senators,579,1004320
2001,0.289,Jerry Hairston,Orioles,602,144
1969,0.297,Jerry Kenney,Yankees,509,1006840
1962,0.282,Jerry Kindall,Indians,588,1006921
1962,0.343,Jerry Lumpe,Athletics,700,1007832
1961,0.333,Jerry Lumpe,Athletics,627,1007832
1963,0.312,Jerry Lumpe,Athletics,663,1007832
1960,0.310,Jerry Lumpe,Athletics,630,1007832
1965,0.300,Jerry Lumpe,Tigers,575,1007832
1964,0.292,Jerry Lumpe,Tigers,688,1007832
1959,0.282,Jerry Lumpe,- - -,504,1007832
1979,0.341,Jerry Martin,Cubs,579,1008174
1982,0.321,Jerry Martin,Royals,565,1008174
1980,0.308,Jerry Martin,Cubs,540,1008174
1884,0.270,Jerry McCormick,- - -,457,1008415
1883,0.269,Jerry McCormick,Orioles,391,1008415
1977,0.349,Jerry Morales,Cubs,538,1009138
1974,0.342,Jerry Morales,Cubs,590,1009138
1976,0.328,Jerry Morales,Cubs,583,1009138
1975,0.316,Jerry Morales,Cubs,644,1009138
1982,0.360,Jerry Mumphrey,Yankees,533,1009314
1981,0.356,Jerry Mumphrey,Yankees,350,1009314
1984,0.334,Jerry Mumphrey,Astros,586,1009314
1977,0.330,Jerry Mumphrey,Cardinals,512,1009314
1980,0.328,Jerry Mumphrey,Padres,622,1009314
1948,0.390,Jerry Priddy,Browns,657,1010533
1949,0.376,Jerry Priddy,Browns,634,1010533
1950,0.363,Jerry Priddy,Tigers,729,1010533
1943,0.344,Jerry Priddy,Senators,635,1010533
1946,0.331,Jerry Priddy,Senators,577,1010533
1951,0.328,Jerry Priddy,Tigers,665,1010533
1947,0.284,Jerry Priddy,Senators,576,1010533
1981,0.327,Jerry Remy,Red Sox,410,1010828
1978,0.306,Jerry Remy,Red Sox,643,1010828
1982,0.303,Jerry Remy,Red Sox,716,1010828
1977,0.300,Jerry Remy,Angels,659,1010828
1983,0.291,Jerry Remy,Red Sox,647,1010828
1975,0.290,Jerry Remy,Angels,629,1010828
1976,0.289,Jerry Remy,Angels,557,1010828
1979,0.314,Jerry Royster,Braves,676,1011270
1978,0.306,Jerry Royster,Braves,600,1011270
1976,0.290,Jerry Royster,Braves,605,1011270
1884,0.175,Jersey Bakely,- - -,205,1000440
1986,0.401,Jesse Barfield,Blue Jays,671,1000537
1985,0.393,Jesse Barfield,Blue Jays,612,1000537
1990,0.364,Jesse Barfield,Yankees,570,1000537
1989,0.344,Jesse Barfield,- - -,615,1000537
1987,0.340,Jesse Barfield,Blue Jays,654,1000537
1988,0.320,Jesse Barfield,Blue Jays,520,1000537
1895,0.476,Jesse Burkett,Spiders,639,1001682
1896,0.468,Jesse Burkett,Spiders,647,1001682
1899,0.459,Jesse Burkett,Perfectos,635,1001682
1893,0.455,Jesse Burkett,Spiders,616,1001682
1897,0.453,Jesse Burkett,Spiders,610,1001682
1901,0.444,Jesse Burkett,Cardinals,673,1001682
1894,0.443,Jesse Burkett,Spiders,608,1001682
1900,0.429,Jesse Burkett,Cardinals,643,1001682
1898,0.400,Jesse Burkett,Spiders,706,1001682
1890,0.390,Jesse Burkett,Giants,437,1001682
1902,0.388,Jesse Burkett,Browns,636,1001682
1903,0.354,Jesse Burkett,Browns,574,1001682
1892,0.351,Jesse Burkett,Spiders,676,1001682
1904,0.344,Jesse Burkett,Browns,661,1001682
1905,0.334,Jesse Burkett,Americans,654,1001682
2018,0.374,Jesus Aguilar,Brewers,566,11342
1965,0.319,Jesus Alou,Giants,567,1000178
1967,0.307,Jesus Alou,Giants,534,1000178
2012,0.295,Jesus Montero,Mariners,553,5514
2005,0.378,Jhonny Peralta,Indians,570,1738
2011,0.356,Jhonny Peralta,Tigers,576,1738
2008,0.347,Jhonny Peralta,Indians,664,1738
2014,0.343,Jhonny Peralta,Cardinals,628,1738
2007,0.337,Jhonny Peralta,Indians,647,1738
2015,0.323,Jhonny Peralta,Cardinals,640,1738
2006,0.312,Jhonny Peralta,Indians,632,1738
2010,0.309,Jhonny Peralta,- - -,615,1738
2009,0.307,Jhonny Peralta,Indians,645,1738
2012,0.301,Jhonny Peralta,Tigers,585,1738
1923,0.380,Jigger Statz,Cubs,722,1012439
1922,0.340,Jigger Statz,Cubs,508,1012439
1924,0.319,Jigger Statz,Cubs,601,1012439
1927,0.310,Jigger Statz,Robins,547,1012439
1905,0.338,Jiggs Donahue,White Sox,608,1003370
1906,0.315,Jiggs Donahue,White Sox,643,1003370
1907,0.293,Jiggs Donahue,White Sox,655,1003370
1894,0.280,Jiggs Parrott,Colts,536,1010023
1893,0.273,Jiggs Parrott,Colts,483,1010023
1928,0.455,Jim Bottomley,Cardinals,667,1001228
1925,0.443,Jim Bottomley,Cardinals,681,1001228
1923,0.440,Jim Bottomley,Cardinals,587,1001228
1929,0.423,Jim Bottomley,Cardinals,648,1001228
1927,0.409,Jim Bottomley,Cardinals,679,1001228
1926,0.397,Jim Bottomley,Cardinals,684,1001228
1924,0.393,Jim Bottomley,Cardinals,583,1001228
1930,0.381,Jim Bottomley,Cardinals,560,1001228
1936,0.375,Jim Bottomley,Browns,596,1001228
1934,0.345,Jim Bottomley,Reds,592,1001228
1933,0.327,Jim Bottomley,Reds,609,1001228
1872,0.274,Jim Britt,Atlantics,161,1001450
1873,0.209,Jim Britt,Atlantics,248,1001450
1935,0.326,Jim Bucher,Dodgers,487,1001617
1889,0.349,Jim Burns,Cowboys,606,1001712
1953,0.353,Jim Busby,Senators,635,1001742
1954,0.335,Jim Busby,Senators,686,1001742
1951,0.328,Jim Busby,White Sox,524,1001742
1956,0.297,Jim Busby,Indians,546,1001742
1955,0.285,Jim Busby,- - -,578,1001742
1952,0.270,Jim Busby,- - -,589,1001742
1894,0.389,Jim Canavan,Reds,418,1001906
1891,0.322,Jim Canavan,- - -,616,1001906
1893,0.305,Jim Canavan,Reds,514,1001906
1892,0.246,Jim Canavan,Colts,487,1001906
1871,0.290,Jim Carleton,Forest Citys,135,1001952
1883,0.343,Jim Clinton,Orioles,426,1002357
1884,0.321,Jim Clinton,Orioles,479,1002357
1885,0.263,Jim Clinton,Red Stockings,430,1002357
1872,0.260,Jim Clinton,Eckfords,97,1002357
1898,0.283,Jim Connor,Orphans,563,1002528
1962,0.360,Jim Davenport,Giants,543,1003017
1961,0.346,Jim Davenport,Giants,503,1003017
1958,0.322,Jim Davenport,Giants,493,1003017
1959,0.291,Jim Davenport,Giants,510,1003017
1963,0.280,Jim Davenport,Giants,509,1003017
1911,0.417,Jim Delahanty,Tigers,628,1003157
1907,0.352,Jim Delahanty,- - -,568,1003157
1904,0.345,Jim Delahanty,Beaneaters,541,1003157
1905,0.323,Jim Delahanty,Beaneaters,506,1003157
1909,0.316,Jim Delahanty,- - -,528,1003157
1953,0.374,Jim Delsing,Tigers,552,1003183
1951,0.328,Jim Delsing,Browns,512,1003183
1876,0.318,Jim Devlin,Grays,299,1003249
1875,0.308,Jim Devlin,White Stockings,322,1003249
1877,0.283,Jim Devlin,Grays,275,1003249
1874,0.281,Jim Devlin,White Stockings,205,1003249
1896,0.383,Jim Donnelly,Orioles,454,1003385
1886,0.247,Jim Donnelly,Cowboys,474,1003385
1887,0.233,Jim Donnelly,Nationals,444,1003385
1888,0.233,Jim Donnelly,Nationals,451,1003385
1911,0.358,Jim Doyle,Cubs,533,1003464
2004,0.436,Jim Edmonds,Cardinals,612,1153
2000,0.421,Jim Edmonds,Cardinals,643,1153
2003,0.417,Jim Edmonds,Cardinals,531,1153
2002,0.414,Jim Edmonds,Cardinals,576,1153
2001,0.406,Jim Edmonds,Cardinals,608,1153
2005,0.389,Jim Edmonds,Cardinals,567,1153
1995,0.380,Jim Edmonds,Angels,620,1153
1998,0.376,Jim Edmonds,Angels,659,1153
1997,0.375,Jim Edmonds,Angels,571,1153
1989,0.347,Jim Eisenreich,Royals,519,1003719
1990,0.329,Jim Eisenreich,Royals,545,1003719
1884,0.285,Jim Field,Buckeyes,452,1004028
1885,0.280,Jim Field,- - -,387,1004028
1954,0.370,Jim Finigan,Athletics,560,1004052
1955,0.324,Jim Finigan,Athletics,615,1004052
1887,0.372,Jim Fogarty,Quakers,587,1004191
1890,0.358,Jim Fogarty,Athletics,415,1004191
1889,0.351,Jim Fogarty,Quakers,571,1004191
1888,0.305,Jim Fogarty,Quakers,514,1004191
1885,0.267,Jim Fogarty,Quakers,457,1004191
1884,0.248,Jim Fogarty,Quakers,398,1004191
1871,0.364,Jim Foran,Kekiongas,91,1004211
1964,0.368,Jim Fregosi,Angels,591,1004330
1970,0.362,Jim Fregosi,Angels,679,1004330
1969,0.340,Jim Fregosi,Angels,685,1004330
1967,0.337,Jim Fregosi,Angels,651,1004330
1965,0.330,Jim Fregosi,Angels,683,1004330
1963,0.329,Jim Fregosi,Angels,642,1004330
1966,0.319,Jim Fregosi,Angels,696,1004330
1968,0.310,Jim Fregosi,Angels,693,1004330
1983,0.325,Jim Gantner,Brewers,662,1004483
1986,0.304,Jim Gantner,Brewers,543,1004483
1991,0.304,Jim Gantner,Brewers,567,1004483
1988,0.299,Jim Gantner,Brewers,596,1004483
1981,0.299,Jim Gantner,Brewers,397,1004483
1984,0.298,Jim Gantner,Brewers,658,1004483
1985,0.279,Jim Gantner,Brewers,573,1004483
1961,0.453,Jim Gentile,Orioles,601,1004612
1964,0.370,Jim Gentile,Athletics,533,1004612
1962,0.354,Jim Gentile,Orioles,639,1004612
1963,0.347,Jim Gentile,Orioles,582,1004612
1953,0.367,Jim Gilliam,Dodgers,710,1004724
1956,0.362,Jim Gilliam,Dodgers,701,1004724
1954,0.358,Jim Gilliam,Dodgers,695,1004724
1959,0.338,Jim Gilliam,Dodgers,655,1004724
1963,0.331,Jim Gilliam,Dodgers,605,1004724
1962,0.329,Jim Gilliam,Dodgers,702,1004724
1961,0.325,Jim Gilliam,Dodgers,531,1004724
1955,0.320,Jim Gilliam,Dodgers,627,1004724
1960,0.318,Jim Gilliam,Dodgers,669,1004724
1958,0.317,Jim Gilliam,Dodgers,636,1004724
1957,0.294,Jim Gilliam,Dodgers,695,1004724
1940,0.391,Jim Gleeson,Cubs,551,1004773
1954,0.368,Jim Greengrass,Redlegs,590,1005000
1953,0.354,Jim Greengrass,Reds,656,1005000
1948,0.336,Jim Hegan,Indians,524,1005582
1949,0.301,Jim Hegan,Indians,529,1005582
1970,0.436,Jim Hickman,Cubs,613,1005777
1963,0.307,Jim Hickman,Mets,546,1005777
1874,0.351,Jim Holdsworth,Whites,286,1005945
1873,0.330,Jim Holdsworth,Mutuals,233,1005945
1872,0.301,Jim Holdsworth,- - -,118,1005945
1875,0.281,Jim Holdsworth,Mutuals,325,1005945
1876,0.262,Jim Holdsworth,Mutuals,242,1005945
1877,0.253,Jim Holdsworth,Dark Blues,262,1005945
1915,0.357,Jim Kelly,Rebels,576,1006801
1963,0.329,Jim King,Senators,510,1006932
1961,0.368,Jim Landis,White Sox,618,1007296
1958,0.351,Jim Landis,White Sox,593,1007296
1960,0.343,Jim Landis,White Sox,594,1007296
1959,0.338,Jim Landis,White Sox,623,1007296
1962,0.324,Jim Landis,White Sox,630,1007296
1966,0.346,Jim Lefebvre,Dodgers,610,1007473
1965,0.317,Jim Lefebvre,Dodgers,631,1007473
1967,0.305,Jim Lefebvre,Dodgers,553,1007473
1960,0.375,Jim Lemon,Senators,611,1007520
1956,0.372,Jim Lemon,Senators,613,1007520
1959,0.369,Jim Lemon,Senators,584,1007520
1957,0.351,Jim Lemon,Senators,576,1007520
1958,0.342,Jim Lemon,Senators,555,1007520
1932,0.314,Jim Levey,Browns,604,1007567
1931,0.259,Jim Levey,Browns,540,1007567
1933,0.227,Jim Levey,Browns,567,1007567
1885,0.263,Jim Lillie,Bisons,436,1007608
1884,0.236,Jim Lillie,Bisons,476,1007608
1886,0.190,Jim Lillie,Cowboys,427,1007608
1889,0.288,Jim Manning,Cowboys,573,1008066
1884,0.276,Jim Manning,Beaneaters,364,1008066
1885,0.272,Jim Manning,- - -,407,1008066
1881,0.266,Jim McCormick,Blues,314,1008416
1880,0.248,Jim McCormick,Blues,294,1008416
1882,0.231,Jim McCormick,Blues,264,1008416
1879,0.222,Jim McCormick,Blues,283,1008416
1889,0.384,Jim McTamany,Solons,646,1008694
1890,0.384,Jim McTamany,Solons,582,1008694
1891,0.364,Jim McTamany,- - -,630,1008694
1886,0.348,Jim McTamany,Grays,482,1008694
1887,0.346,Jim McTamany,Grays,608,1008694
1888,0.328,Jim McTamany,Cowboys,594,1008694
1986,0.355,Jim Morrison,Pirates,593,1009212
1980,0.337,Jim Morrison,White Sox,666,1009212
1987,0.296,Jim Morrison,- - -,504,1009212
1906,0.334,Jim Nealon,Pirates,636,1009477
1977,0.328,Jim Norris,Indians,517,1009635
1969,0.388,Jim Northrup,Tigers,602,1009641
1971,0.357,Jim Northrup,Tigers,524,1009641
1970,0.355,Jim Northrup,Tigers,576,1009641
1968,0.349,Jim Northrup,Tigers,643,1009641
1967,0.325,Jim Northrup,Tigers,542,1009641
1890,0.435,Jim O'Rourke,Giants,519,1009839
1884,0.396,Jim O'Rourke,Bisons,502,1009839
1877,0.395,Jim O'Rourke,Red Caps,285,1009839
1889,0.383,Jim O'Rourke,Giants,543,1009839
1873,0.382,Jim O'Rourke,Red Stockings,294,1009839
1879,0.372,Jim O'Rourke,Grays,375,1009839
1885,0.367,Jim O'Rourke,Giants,517,1009839
1886,0.363,Jim O'Rourke,Giants,479,1009839
1876,0.360,Jim O'Rourke,Red Caps,327,1009839
1892,0.359,Jim O'Rourke,Giants,483,1009839
1887,0.355,Jim O'Rourke,Giants,438,1009839
1883,0.354,Jim O'Rourke,Bisons,451,1009839
1891,0.350,Jim O'Rourke,Giants,587,1009839
1893,0.348,Jim O'Rourke,Senators,604,1009839
1881,0.348,Jim O'Rourke,Bisons,375,1009839
1874,0.345,Jim O'Rourke,Red Stockings,335,1009839
1880,0.340,Jim O'Rourke,Red Caps,384,1009839
1875,0.331,Jim O'Rourke,Red Stockings,367,1009839
1888,0.325,Jim O'Rourke,Giants,436,1009839
1878,0.322,Jim O'Rourke,Red Caps,260,1009839
1872,0.318,Jim O'Rourke,Mansfields,103,1009839
1882,0.306,Jim O'Rourke,Bisons,383,1009839
1961,0.365,Jim Piersall,Indians,536,1010340
1955,0.354,Jim Piersall,Red Sox,599,1010340
1956,0.353,Jim Piersall,Red Sox,681,1010340
1954,0.337,Jim Piersall,Red Sox,520,1010340
1957,0.334,Jim Piersall,Red Sox,687,1010340
1960,0.330,Jim Piersall,Indians,522,1010340
1953,0.316,Jim Piersall,Red Sox,654,1010340
1962,0.285,Jim Piersall,Senators,515,1010340
1925,0.348,Jim Poole,Athletics,522,1010434
1884,0.298,Jim Powell,Virginians,162,1010491
1985,0.348,Jim Presley,Mariners,625,1010523
1986,0.333,Jim Presley,Mariners,660,1010523
1987,0.315,Jim Presley,Mariners,622,1010523
1990,0.310,Jim Presley,Braves,577,1010523
1988,0.287,Jim Presley,Mariners,592,1010523
1967,0.389,Jim Ray Hart,Giants,665,1005448
1966,0.371,Jim Ray Hart,Giants,636,1005448
1965,0.368,Jim Ray Hart,Giants,649,1005448
1964,0.367,Jim Ray Hart,Giants,625,1005448
1968,0.344,Jim Ray Hart,Giants,535,1005448
1978,0.425,Jim Rice,Red Sox,746,1010897
1979,0.421,Jim Rice,Red Sox,688,1010897
1977,0.414,Jim Rice,Red Sox,710,1010897
1983,0.395,Jim Rice,Red Sox,689,1010897
1982,0.383,Jim Rice,Red Sox,638,1010897
1986,0.383,Jim Rice,Red Sox,693,1010897
1975,0.375,Jim Rice,Red Sox,613,1010897
1980,0.369,Jim Rice,Red Sox,542,1010897
1985,0.364,Jim Rice,Red Sox,608,1010897
1976,0.360,Jim Rice,Red Sox,624,1010897
1981,0.349,Jim Rice,Red Sox,495,1010897
1984,0.347,Jim Rice,Red Sox,708,1010897
1988,0.331,Jim Rice,Red Sox,542,1010897
1954,0.361,Jim Rivera,White Sox,552,1011002
1953,0.339,Jim Rivera,White Sox,639,1011002
1955,0.339,Jim Rivera,White Sox,530,1011002
1956,0.321,Jim Rivera,White Sox,555,1011002
1952,0.319,Jim Rivera,- - -,595,1011002
1896,0.311,Jim Rogers,- - -,473,1011133
1944,0.403,Jim Russell,Pirates,664,1011315
1945,0.386,Jim Russell,Pirates,589,1011315
1946,0.363,Jim Russell,Pirates,591,1011315
1943,0.345,Jim Russell,Pirates,614,1011315
1947,0.341,Jim Russell,Pirates,548,1011315
1872,0.265,Jim Snyder,Eckfords,107,1012250
1971,0.313,Jim Spencer,Angels,572,1012325
1970,0.312,Jim Spencer,Angels,550,1012325
1976,0.304,Jim Spencer,White Sox,578,1012325
1977,0.302,Jim Spencer,White Sox,515,1012325
1977,0.341,Jim Sundberg,Rangers,533,1012724
1981,0.337,Jim Sundberg,Rangers,396,1012724
1978,0.336,Jim Sundberg,Rangers,592,1012724
1980,0.335,Jim Sundberg,Rangers,581,1012724
1979,0.322,Jim Sundberg,Rangers,561,1012724
1982,0.318,Jim Sundberg,Rangers,531,1012724
1975,0.261,Jim Sundberg,Rangers,540,1012724
1940,0.382,Jim Tabor,Red Sox,505,1012808
1939,0.356,Jim Tabor,Red Sox,626,1012808
1941,0.356,Jim Tabor,Red Sox,539,1012808
1946,0.330,Jim Tabor,Phillies,509,1012808
1943,0.323,Jim Tabor,Red Sox,586,1012808
1942,0.318,Jim Tabor,Red Sox,554,1012808
2002,0.461,Jim Thome,Indians,613,409
1996,0.450,Jim Thome,Indians,636,409
1995,0.433,Jim Thome,Indians,557,409
2001,0.429,Jim Thome,Indians,644,409
1997,0.425,Jim Thome,Indians,627,409
1998,0.422,Jim Thome,Indians,537,409
2006,0.421,Jim Thome,White Sox,610,409
1999,0.413,Jim Thome,Indians,629,409
2007,0.412,Jim Thome,White Sox,536,409
2003,0.401,Jim Thome,Phillies,698,409
2004,0.400,Jim Thome,Phillies,618,409
2000,0.399,Jim Thome,Indians,684,409
1994,0.375,Jim Thome,Indians,369,409
2008,0.371,Jim Thome,White Sox,602,409
1874,0.302,Jim Tipper,Dark Blues,198,1013078
1872,0.281,Jim Tipper,Mansfields,112,1013078
1875,0.152,Jim Tipper,Elm Citys,160,1013078
1887,0.260,Jim Toy,Blues,442,1013148
1913,0.396,Jim Viox,Pirates,578,1013436
1915,0.342,Jim Viox,Pirates,591,1013436
1914,0.334,Jim Viox,Pirates,588,1013436
1882,0.398,Jim Whitney,Red Caps,275,1013908
1883,0.337,Jim Whitney,Beaneaters,434,1013908
1881,0.297,Jim Whitney,Red Caps,301,1013908
1974,0.310,Jim Wohlford,Royals,549,1014179
1929,0.426,Jimmie Dykes,Athletics,476,1003617
1925,0.396,Jimmie Dykes,Athletics,533,1003617
1930,0.389,Jimmie Dykes,Athletics,535,1003617
1921,0.367,Jimmie Dykes,Athletics,701,1003617
1922,0.362,Jimmie Dykes,Athletics,581,1003617
1926,0.361,Jimmie Dykes,Athletics,499,1003617
1936,0.346,Jimmie Dykes,White Sox,511,1003617
1934,0.346,Jimmie Dykes,White Sox,536,1003617
1932,0.341,Jimmie Dykes,Athletics,647,1003617
1920,0.333,Jimmie Dykes,Athletics,637,1003617
1933,0.328,Jimmie Dykes,White Sox,641,1003617
1932,0.522,Jimmie Foxx,Athletics,701,1004285
1933,0.510,Jimmie Foxx,Athletics,670,1004285
1938,0.508,Jimmie Foxx,Red Sox,685,1004285
1939,0.507,Jimmie Foxx,Red Sox,563,1004285
1935,0.485,Jimmie Foxx,Athletics,649,1004285
1934,0.484,Jimmie Foxx,Athletics,652,1004285
